index,Word,Meaning,Synonyms,Example
0,ostentatious,과시하는 듯이 호사스러운; 허세적인,pretentious; showy; tawdry; specious; plausible; pretended; seeming; outwardly; unpretending; unpretentious,"John was a noisy, ostentatious man who loved to talk about his yachts, mansions, and gaudy jewelry."
1,fallacious,그릇된; 허위의; 믿을 수 없는,faulty; wrong; mistaken; false; errant; erroneous; incorrect; improper; inappropriate; inaccurate; untrue; inexact; spurious; incongruous; misleading; deceitful; delusive; incredible,Don't be misled by the fallacious reasoning of the advertising generalization.
2,gullible,잘 속는,easily-deceived; credulous; trusting,He was able to mislead the gullible with his specious arguments.
3,oblivious,주위의 환경에 의식하지 못하는; 염두에 두지 않는,unheeding; unaware; forgetfulness; amnesia; lethe; coma,"Absorbed in my work, I was totally oblivious of my surroundings."
4,notorious, 악명 높은,infamous; ill-famed; flagrant; arrant; egregious,"Unfortunately, our company is notorious for bad working conditions."
5,repel,쫓아버리다; 물리치다; 혐오감을 일으키다,drive away; dispel; expel; repulse; dissipate; reject; refuse; decline; revolt; disgust; sicken; nauseate; unpleasant; abhorrent; hateful; loathsomeness; disagreeable; disgusting,They repelled the enemy a number of times.
6,dismiss,해고하다; 제쳐두다; 내보내다; 묵살하다,lay off; kiss off; fire; discharge; send away; put out of one's mind; remove; expel; reject; turn down; contemptuous,The court ruled that the company's employees were unfairly dismissed.
7,charge, 부담시키다; 명령하다; 비난하다; 고발하다; 청구하다,fill; load; lade; burden; freight; encumber; order; command; blame; accuse; indict,He was charged with stealing.
8,reluctant,마음 내키지 않는; 마지못해 하는,unwilling; disinclined; indisposed; grudging; with reluctance; unwillingly; grudgingly,"With the economy in bad shape, people are reluctant to open their wallets."
9,abuse, 욕하다; 악용하다; 남용하다; 학대하다,call; name; slander; revile; rail; vilify; vituperate; vilipend; misuse; mistreat; mishandle; maltreat,She quit her job only because she was abused by her boss.
10,restricted,제한된; 한정된; 특정인의 전용인,limited; confined; hampered; confine; curb; circumscribe; unrestricted; unlimited,They are not authorized to enter the restricted area.
11,suppress,감정 등을 억누르다; 억압하다; 출판 등을 금하다; 압수하다,keep down; put down; quell; repress; subdue; check; bottle up; prohibit; inhibit; embargo; stanch,He tried to suppress his anger.
12,compulsory,법이나 규정에 의해 강제된; 의무적인,mandatory; required; obligatory; irresistibly,Elementary education became compulsory and universal in England by the Education Act.
13,obligatory, 의무적인; 강제적인,incumbent; mandatory; compulsory; forced; required; necessary; requisite; restrictive; binding; responsibility; duty,"In some countries, it is obligatory to vote."
14,apprehend,뜻을 이해하다; 깨닫다; 감지하다; 붙잡다; 체포하다; 걱정하다,understand; comprehend; catch; grasp; get; make out; appreciate; arrest; seize; capture; take into custody; round up; worry; care about; be afraid for; be anxious about; feel anxiety; anticipate,The police apprehended the middle-aged man armed with a shot gun.
15,attribute,~의 탓으로 하다; ~의 작품으로 돌리다; 속성; 특성,ascribe; accredit; impute; owe; characteristic; properties; traits; quality,The tight-fisted man falsely attributed his failure to the lack of loyalty among his friends.
16,immune, 면역의; 면제된,not susceptible to; unsusceptible; safe; resistant; exempt from,This serum is supposed to make you immune from further infection.
17,relinquish, 그만두다; 버리다; 소유물·권리 등을 포기하다; 양도하다,give up; abandon; surrender; forgo; renounce; forsake; discard; abjure; unlearn; alienate; transfer; hand over; yield; resign; devolve,Mr. Palmer made up his mind to relinquish his seat in the Senate.
18,extinct, 멸종된; 활동을 멈춘,exterminated; inactive; extinguished; quenched; disappearance; put out; snuff out; smother; quench,This animal has now become extinct.
19,inactive,활동을 멈춘; 나태한; 시동이 불가능한,dormant; inert; torpid; lethargic; slumberous; sluggish; indolent; lazy; idle; remiss; slothful,Owls are inactive during the daytime.
20,improvise,즉석에서 연주를 하다; 임기응변으로 처리하다,extemporize; play it by ear; think up on the spot,"Although the oral presentation was improvised, it seemed very well-organized."
21,specific,명확한; 구체적인; 독특한; 특정한; 명세서; 상세,certain; definite; precise; determinate; particular; peculiar; unique; distinct; distinctive; characteristic; singular; item; article; detail; specification; designate; stipulate,"Unless you are more specific, we do not know which one to send you."
22,compose,마음을 가라앉히다; 작곡하다; 구성하다,calm oneself; organize oneself; control oneself; make up; constitute; decay; calmness; cohesion; serenity; aplomb,"John stood in the living room for a while, making an effort to compose himself."
23,settle,정착시키다; 놓다; 설치하다; 진정시키다; 해결하다; 결정하다,set up; install; place; domiciliate; calm down; sedate; appease; resolve; make up; nail down; decide upon; conclude,It's time for my son to settle down and start a family.
24,sedentary,주로 앉아 있는; 정착해 있는,done sitting down; immobile; inactive; stationary; settled; not migratory,His doctor advised him to start jogging because his lifestyle was too sedentary.
