Word,Meaning,Synonyms,Example
fluctuate,"오르내리다, 변동하다; (감정 등이) 파동치다, 동요하다, 흔들리다",move/go up and down; vary; change; rise and fall; go seesaw; vacillate; waver; wobble; shake; volatile; up-and-down; jolt,The price of gold fluctuates daily.
precipitate,"마구 재촉하다, 촉진시키다; 거꾸로 떨어뜨리다, 팽개치다; 서두르다; 침전하다, 응결하다; 거꾸로 떨어지다; 다급한, 경솔한",accelerate; hasten; expedite; impel; propel; speed up; hurry up; urge; cast; hurl; fling; scurry; settle; deposit; sediment; congeal; hasty; suddenly,"Do not be precipitate in this matter, investigate further."
temporary,"일시적인, 순간의, 덧없는; 임시의, 임시변통의; 임시변통한 것",transitory; fugitive; ephemeral; tentative; provisional; interim; makeshift,The drop in sales is only a temporary blip.
ephemeral,"순식간의, 덧없는, 일시적인; 하루살이 목숨의, (곤충 등이) 명이 짧은",transient; fleeting; evanescent; momentary; temporary; short-lived; of a day,"In contrast to the durability of the old classic movies, many of today’s movies seem designed to have only ephemeral appeal."
transient,"일시의, 잠깐 머무르는, 덧없는; 뜨내기, 단기 체류객",temporary; ephemeral; transitory; momentary,"Contemporary American society is much more transient now; people often move from neighborhood to neighborhood, city to city, and coast to coast."
permanent,"영속하는, (비)영구적인, 불변의; 상설의, 종신의",indelible; lasting; perpetual; eternal; standing; regular; forever; for good; eternally; perpetually,Regular exposure to loud music and noise can inflict permanent hearing damage.
persistent,"끊임없이 지속/반복되는, 만성의; 끈질긴, 집요한",perpetual; constant; continuous; incessant; chronic; enduring; tenacious,Common symptoms of the disease include a persistent headache and an upset stomach.
determinedly,"단호하게, 확고하게",steadfastly; resolutely; determined; obstinate; resolved; unyielding; pertinacious; resolution,He made a determined effort to pass the exam.
deviate,"(진로·원칙 따위에서) 벗어나다, 일탈하다; 빗나가게 하다, 벗어나게 하다; 비정상적인 사람; 성격 도착자",stray; depart; diverge; digress; deflect; swerve; aberrant; lapse; underhand,To be fully normal is impossible. Everyone deviates from the norm.
unpredictable,예측할 수 없는,unforeseeable; capricious,What will happen next is unpredictable.
compromise,"타협, 절충, 화해; 절충안, 절충(중간물); (명예·평판 등을) 위태롭게 함; 타협시키다, 화해시키다; (명성 등을) 더럽히다, 손상하다; 타협하다, 화해하다; 굴욕적으로 양보하다",concession; give-and-take; arrangement; composition; entente; reconcilement; middle course; conciliate; reconcile; defile; taint; disgrace; blemish,The best way to avoid conflict is to compromise.
incompatible,"양립할 수 없는, 모순된; 조화되지 않는",irreconcilable; uncongenial; not to be harmonized; not in harmony with each other,The partners were too incompatible to stay in business together.
endorse,"(어음·증권 등에) 배서(이서)하다; (공개적으로) 지지하다, 승인하다, 찬성하다; (유명인이 상품을) 보증하다",sign; underwrite; approve; sanction; affirm; confirm; support; assure; guarantee; warrant,"After much discussion, the committee decided to endorse the new budget."
liability,"부채, 채무, 빚; (~할) 법적 책임, 의무, 부담; 불리한 일·사람; (~하기 쉬움, ~에 걸리기 쉬움)",debts; negative capital; duty; responsibility; obligation; accountability; charge; burden; handicap; disadvantage; onus; answerable; prone,"As a result, their liabilities surpassed 20 billion won as of September this year."
comply,"(요구·명령에) 따르다, 응하다; 유순, 고분고분함; 응낙, 수락; 유순한, 고분고분한",obey; observe; act in harmony with; conform to; acquiescence; docility; obedience; pliability; amenability; acceptance; agreement; docile; obedient; pliant; pliable; ductile; amenable; placid; meek; supple; complaisant; submissive,Every member of this organization is expected to comply with its regulations.
apathetic,"무감각한, 냉담한, 관심이 없는",indifferent to; uninvolved; unconcerned; callous; cool; insensitive; nonchalant; indifference; callousness; inertia,He felt apathetic about the conditions he had observed and did not care to fight against them.
lenient,"(처벌 등이) 너그러운, 관대한; (약·위로 등 고통·긴장 등을) 완화시키는",merciful; generous; mild; tolerant; liberal; magnanimous; charitable; broad-minded; benevolent; gracious; genial; warmhearted; mollifying; sedative; palliative; mitigative; emollient; soothing,Everybody told him that his grandfather used to be a lenient man.
pertinent,"적절한, 관련된; ~에 속하는",relevant; suitable; felicitous; fitting; adequate; proper; becoming; appropriate; opportune,Please keep your comments pertinent to the topic under discussion.
complacent,스스로 만족하여 안주하는,satisfied; self-satisfied; smug; content; pleased; unconcerned; contentment; satisfaction; self-satisfaction,"In spite of his fame, the pianist never became complacent."
discretion,"분별력, 판단력, 신중함, 사려; (자유) 재량(권)",judgment; discernment; discrimination; prudence; circumspection; determination; prudent; cautious; circumspect; scrupulous; thoughtful; keen; considerate; attentive; canny; polite; courteous; well-mannered; civil; cautiously,This TV program contains adult materials and viewers’ discretion is advised.
distinguish,"구별하다, 식별하다; 돋보이게 하다; (~와 차이를) 구별하다",discriminate; differentiate; perceive; discern; mark; singularize; eminent; evident; obvious; singular,The microscope enables scientists to distinguish an incredible number and variety of bacteria.
formidable,"(상대방이) 가공할, 어마어마한, 무서운; (일이) 만만치 않은, 엄청나게 많은",powerful; frightening; dreaded; tremendous; intimidating; dreadful; awesome; redoubtable; terrifying; frightful; fearful; fearsome; horrible; appalling; hideous; ghastly; challenging,Sending a man into space is a formidable enterprise.
potent,"강력한, 유력한, 힘센, 영향력이 있는; (약 등이) 효력이 있는",powerful; mighty; strong; vigorous; telling; forceful; forcible; influential; effective; efficacious,Do potent drugs work on the common cold?
integral,"(구성요소로서) 없어서는 안 될, 필수적인; 완전한, 완전체의",essential; key; necessary; entire; complete; intact; whole; probity; rectitude; uprightness; honesty; wholeness,The limbs are the integral parts of the human body.
disintegration,"붕해, 붕괴, 분열, 분산",decomposition; breakdown; falling apart; dismantlement; dissolution; collapse; decompose; dismantle; dissolve,Air pollution and emissions cause disintegration of the earth’s atmosphere.
