Word,Meaning,Synonyms,Example
vulnerable,"상처 받기 쉬운, 상처 입기 쉬운; 취약한",weak; susceptible; precarious,Certain people have nervous systems particularly vulnerable to dry winds.
depend,"의지하다, 의존하다, 신뢰하다(on); ~에 달려 있다, ~에 좌우되다(on)",count on; turn to; rely on; fall back on; be dependent on; be contingent on; hinge on,The value of the evidence depends on its authenticity.
mandatory,"강제의, 의무의, 필수의; 명령의, 위임의",compulsory; obligatory; binding; requisite; forced; required; necessary; prescribed; delegated,In most countries it is mandatory for drivers to fasten their seat belts while driving.
ambiguous,"모호한, 분명하지 않은; 다의의, 두 가지 뜻으로 볼 수 있는",uncertain; equivocal; unclear; elusive; vague; obscure; doubtful; dubious; indistinct,This is the third time today dad has given us an ambiguous reply.
susceptible,"(영향을) 받기 쉬운, 감염되기 쉬운(to); ~을 할 여지가 있는(to); 감수성이 강한, 받아들이는",vulnerable; subject; susceptive; accessible; suggestible; penetrable; yielding; infectious; liable to; sensitive; receptive,Today's children are so susceptible to the lure of television and video games.
obsolete,"시대에 뒤떨어진, 구식의; 더 이상 쓸모가 없는; 폐물, 퇴물",outmoded; outdated; out of date; archaic; disused,This type of computer is obsolete.
tangible,"만져 볼 수 있는; 유형의, 실체가 있는; (사실·증거 등이) 명백한, 확실한",real; substantial; palpable; tactile; perceptible; touchable; material; physical; concrete; corporeal; definite,"In the long run, ideas are more powerful than tangible weapons."
lucrative,"이익이 있는, 수지맞는; 유리한",profitable; well-paying; remunerative; paying; advantageous; favorable,"Recently, CD piracy has become a lucrative business."
obscure,"분명치 않은, 불명료한, 모호한; 눈에 띄지 않는, 세상에 알려지지 않은; 가리다, 흐리게 하다; 숨기다",unclear; murky; indistinct; vague; cryptic; hidden; unknown; block; hide; cover; veil; screen; blur; obfuscate; conceal,The student's writing is so obscure that it is very hard to understand.
dispose,"~하는 경향이 있다; ~할 마음이 나게 하다; 처리하다, 처분하다",incline; get rid of; sell,The people in power are disposed toward conservatism.
precarious,"불확실한, 운에 맡기는; 위태로운; 근거가 빈약한, 확고하지 못한",unstable; insecure; uncertain; hazardous; at risk; perilous; unsafe; weak; unfounded; groundless; baseless,The establishment of apartheid created a precarious situation in Brazil.
alleviate,"(고통을) 완화시키다, 경감하다",relieve; assuage; mitigate; lessen; allay; palliate; soothe; relax; subdue; appease,Many economists argue that free trade is a magic bullet - the quickest way to fuel growth and alleviate poverty.
capricious,"변덕스러운, 마음이 변하기 쉬운; (날씨 따위가) 불규칙적인",whimsical; fickle; mercurial; volatile; quicksilver; mutable; unpredictable; irregular; unstable,The storm was capricious and changed course constantly.
hinder,"방해하다, 저지하다",block; retard; thwart; obstruct; impede; deter; hamper; cramp; inhibit; tie up; interfere with; encumber; prevent,The storm hindered our progress.
dormant,"휴면 상태의, 잠자는 (것 같은); (능력 등이) 잠재하는, 잠복중인",inactive; in a sleeping condition; resting; torpid; motionless; latent; potential,Scientists discovered recently that the virus is dormant in most brain tissue.
exhaust,"(자원 등을) 고갈시키다, 다 써버리다; (사람을) 소진하다, 몹시 지치다; 철저히 규명하다; (공기·가스 등을) 배출하다",drain; use up; consume; enervate; weaken; be used up; be tired out,The world's powerful nations have exhausted public resources in pursuit of their narrow interests.
substantial,"상당한, 많은; 실재하는, 실질적인, 중요한; 물질의",considerable; significant; large; real; important; major; valuable; material; physical; corporeal,Substantial penalties will be charged whenever a customer withdraws funds from this account prior to the maturity date.
affect,"~에 영향을 미치다, 작용하다; ~을 가장하다, ~인 체하다; ~을 즐겨 쓰다, 애호하다",influence; have an effect on; feign; disguise; assume; pretend; make believe; fancy; be fond of,"Inflation, prolonged for several months, is bound to affect personal spending."
scrutinize,"세밀히 조사하다, 철저히 검사하다, 유심히 보다",examine; canvass; probe; overhaul; inspect; explore; delve into; investigate; inquire into; sift; comb through; search for; scan,"The scientists scrutinized thousands of pages of computer printouts, looking for a clue to why the rocket had exploded."
thrive,"번영하다, 번성하다; (사업 등이) 잘 자라다, 무성해지다; 성공하다, 부자가 되다",prosper; flourish; grow vigorously; come to wealth; make a fortune,Many animals thrive in the Serengeti plain.
candid,"솔직한, 정직한, 거리낌 없는; 공평한, 숨김 없는",frank; forthright; sincere; truthful; outspoken; honest; plain; downright; outright; upright,I take it that you have been quite candid with me.
futile,(효과 등이) 소용없는; 무익한,vain; useless; unsuccessful; fruitless; resultless; no good; profitless,It was futile to complain about the injustice of the system.
discrimination,"구별, 식별(력), 안목; 차별, 차별 대우",distinction; distinguishment; insight; a good eye; differentiation; segregation,He is working hard to reduce racial discrimination.
negligible,"무시해도 좋은; 하찮은, 사소한",slight; small; trivial; trifling; petty; paltry; fiddling; insignificant; unimportant,"If the subject deals with a very basic principle, the difference is negligible."
inadvertently,"아무 생각 없이, 무심코; 우연히",accidentally; unintentionally; unwittingly; involuntarily; casually,"First I couldn't locate my math homework, but after a while I found it in my English notebook. I must have put it there inadvertently."
