Word,Meaning,Synonyms,Example
alter,"바꾸다, 고치다; 변하다, 바뀌다",change; shift; modify; tamper with; transform; correct; amend; rectify; revise; reverse; convert; vary,The advent of the automobile may have altered the growth pattern of the city.
meticulous,"세심한, 꼼꼼한, 신중한; 작은 일에 신경을 쓰는, 소심한, 좀스러운",very careful; scrupulous; particular; punctilious; fastidious; precise; overscrupulous; fussy,Mr. John is meticulous about his appearance.
scrupulous,"꼼꼼한, 세심한, 용의주도한; 양심적인, 성실한",exact; careful; meticulous; punctilious; conscientious; honest,"My boyfriend is very smart, but too scrupulous."
versatile,"다재다능한, 만능의; 다용도의",many-sided; all-round; multifaced; protean; various; almighty; all-purpose; multipurpose; miscellaneous,They need a versatile actor who can play many different roles.
account,"(이유를) 설명하다, 밝히다(for); 비율을 차지하다(for); 책임을 지다(for); ~이라고 간주하다; 서술, 이야기, 기사; 변명, 설명, 이유, 근거, 동기; 예금계좌, 계정; 신용거래, 고객; 계산서",explain; be responsible for; consider; regard; statement; tale; explanation; narrative; grounds; balance,The old theory cannot account for this phenomenon.
exclusive,"유일의, 하나뿐인; 독점적인, 배타적인, 특권층의; 독점기사, 특종",sole; unique; only; monomistic; restricted; only; solely; ostracism; eliminate; remove; oust; banish; rule out,"However, exclusive news content is not always a scoop, as it may not provide the requisite information or excitement."
restrain,"(감정·욕망 등을) 억제하다; 구속하다, 감금하다; 제지하다, 단념시키다",hold back; inhibit; curb; suppress; repress; detain; imprison; confine; incarcerate; intern; keep in custody; lock up; jail; deter; prevent; obstruct; hinder; inhibit; dissuade; discourage,She barely managed to restrain herself from eating more.
anonymous,"저자불명의, 신원불명의; 익명의, 이름을 안 밝히는",unidentified; unknown; incognito; innominate; pseudonymous,"Perhaps Aesop wrote this story, perhaps not. This story is anonymous."
hereditary,"유전성의, 유전하는, 유전적인; 상속권에 의한, 세습의",genetically passed; genetic; transmissible; heritable,Are the differences we observe in intelligence due to hereditary or environmental influences?
unprecedented,"전례가 없는, 미증유의",unparalleled; unexampled; unsurpassed; unheard-of; record-breaking; exceptional,The president pledged unprecedented support for the growth of small and midsize businesses.
impartial,"치우치지 않은, 편견이 없는; 공평한",fair; unbiased; unprejudiced; equitable; fair-minded; open-minded; dispassionate,"Beverly tried to be an impartial judge at the beauty contest, but in the end she couldn't help selecting her own daughter to be the new May Queen."
biased,"편향된, 치우친; 편견을 지닌",weighted; partial; jaundiced; prejudiced; inequitable; unfair; unjust,"A judge should not be biased, but rather she should weigh the evidence before making up her mind on any aspect of the case."
irrelevant,"(주제와) 무관계한, 엉뚱한, 부적절한",inappropriate; beside the point; unrelated; extraneous; having nothing to do with,Do not obfuscate the issues by dragging in irrelevant argument.
homogeneous,"같은 종류의 것으로 된, 동종의, 균질의",similar; identical; same kind; kindred,"In a homogeneous culture such as that of Iceland, minority problems lack the immediacy they have in the multicultural United States."
insignificant,"중요하지 않은, 하찮은, 사소한",unimportant; nominal; marginal; trivial; petty; trifling; piddling; inconsiderable,They talked about insignificant matters.
respect,"존중, 경의; 인사; 주의, 관심, 고려; 점(point), 사항, 세목; 존경하다; 고려하다; 유의하다",deference; reverence; veneration; greeting; salutation; regards; facet; item; article; particulars; detail; look up to; esteem; revere; adore; admire,Children have no respect for their elders nowadays.
abandon,"(계획·습관 등을) 그만두다, 단념하다; (사람·집·지위 등을) 버리다, 유기하다; 방종, 탐닉",give up; relinquish; desert; discard; forsake,Finally he gave the order to abandon the ship.
sustain,"떠받치다, 지탱하다, 부양하다; 지속하다, 유지하다; (재해·손실 등을) 입다, 경험하다",support; prop up; shore up; bear; fend for; feed; nurture; maintain; continue; endure; last; suffer; undergo,"To sustain the growth, more tax revenues were needed despite mounting protests."
beneficial,"유익한, 유리한, 유용한",salutary; helpful; favorable; useful; profitable,"Foxes are known for their raids on poultry, but are nonetheless very beneficial to farmers because they destroy rodents."
alternative,"양자택일; 대안; 양자택일의, 선택적인; 대신하는",other choice; counterplan; optional; selective; vicarious,Several alternatives to the manager's proposal were suggested.
tenacious,"(의견 등을) 고집하는, 고집이 센; 집요한; 기억력이 좋은",stubborn; persistent; determined; obstinate; pertinacious; obdurate; unyielding; rigid; bigoted; pigheaded; restive; retentive,The bulldog was remarkably tenacious. He wouldn't let go of the robber's leg even when the man rained blows down on his head.
eradicate,"뿌리째 뽑다, 박멸하다, 근절하다",get rid of; remove; destroy; exterminate; eliminate; uproot; wipe out; root out; extirpate; extinguish,"Once a species begins to run amok, it is extremely difficult to eradicate."
detrimental,"손해를 입히는, 불이익의, 해로운(to); 해로운 사람(것)",harmful; damaging; deleterious; injurious; pernicious,"Bacteria can be both detrimental and helpful to human beings, depending on the specific type and effect."
dominate,"지배하다, 위압하다; 우위를 차지하다, 우세하다; (감정 등을) 억누르다",subjugate; predominate; control; rule; reign; domineer; preponderate; prevail; command; quell; smother; suppress,The logic of capitalism has dominated this world for over 50 years.
surpass,"~보다 낫다, ~을 능가하다; (범위·한계점을) 넘다, 초월하다",exceed; excel; eclipse; outstrip; outclass,The artists of New York now surpass those of Paris in achievement.
